Feature,Importance
ROC,0.05478353727277653
RSI,0.052181290008965694
CCI,0.0497246144103011
MACD_Hist,0.03349832473403422
Stoch_D,0.030588855364879774
Stoch_K,0.029641942761468226
Williams_R,0.029439197713094188
Return_5D,0.026551598047446057
MACD,0.02452530085366403
ATR,0.021214821462147877
VIX,0.021065992775593463
BB_Width,0.02105469409530594
CMF,0.019515293986515463
Month,0.019471617046800897
MACD_Signal,0.01896061454044155
ADX,0.018911174211702752
Return_20D,0.018727998244866192
Log_Return,0.01805543973235743
SP500_Return,0.016921956139220908
Daily_Return,0.01691228859993541
NASDAQ_Return,0.016608978985753448
Volume_MA5,0.01604891422478563
Crude,0.015930102094016726
Prev_Return,0.015676257666566627
Crude_Return,0.015378935449094494
USDINR_Return,0.014988807286896454
USDINR,0.01490198772814215
SP500,0.014317090770692872
Volume_Change,0.014129766145669792
Gold,0.013943466244213127
Volume_Ratio,0.0139199726721744
Volume,0.013585773856962767
Price_Range,0.013559709545541034
VIX_Return,0.013508654222339597
NASDAQ,0.013454292674551005
High_Low_Pct,0.013307632670267933
Body_Size,0.0130482269747037
OBV,0.012981221073959359
Gold_Return,0.012848739326740626
Open_Close_Pct,0.012755050957590155
BB_Low,0.01196161362986951
BB_High,0.011898710888504378
SMA_10,0.011524897747466942
EMA_50,0.011446880041856693
SMA_5,0.010901930337520875
High,0.010581653601003617
Low,0.010443963546082178
SMA_50,0.010341303208658944
Close,0.010286972377507857
EMA_10,0.010184902626160815
Open,0.010035525965190585
Quarter,0.00970921815711523
BB_Middle,0.009618918210732843
EMA_20,0.009560700655176143
SMA_20,0.009450351961291336
Prev_Close,0.009442014077654198
DayOfWeek,0.005970310396028387
